Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,State,Postal Code,Region
CA-2017-114412,20-04-17,Standard Class,AA-10480,Andrew Allen,North Carolina,28027,South
US-2017-156909,18-07-17,Second Class,SF-20065,Sandra Flanagan,Pennsylvania,19140,East
CA-2017-107727,23-10-17,Second Class,MA-17560,Matt Abelman,Texas,77095,Central
CA-2017-120999,15-09-17,Standard Class,LC-16930,Linda Cazamias,Illinois,60540,Central
CA-2017-139619,23-09-17,Standard Class,ES-14080,Erin Smith,Florida,32935,South
CA-2017-114440,17-09-17,Second Class,TB-21520,Tracy Blumstein,Michigan,49201,Central
US-2017-118038,11-12-17,First Class,KB-16600,Ken Brennan,Texas,77041,Central
US-2017-118038,11-12-17,First Class,KB-16600,Ken Brennan,Texas,77041,Central
US-2017-118038,11-12-17,First Class,KB-16600,Ken Brennan,Texas,77041,Central
US-2017-119662,16-11-17,First Class,CS-12400,Christopher Schild,Illinois,60623,Central
CA-2017-140088,30-05-17,Second Class,PO-18865,Patrick O'Donnell,South Carolina,29203,South
CA-2017-155558,02-11-17,Standard Class,PG-18895,Paul Gonzalez,Minnesota,55901,Central
CA-2017-155558,02-11-17,Standard Class,PG-18895,Paul Gonzalez,Minnesota,55901,Central
US-2017-109484,12-11-17,Standard Class,RB-19705,Roger Barcio,Oregon,97206,West
CA-2017-161018,11-11-17,Second Class,PN-18775,Parhena Norris,New York,10009,East
CA-2017-157833,20-06-17,First Class,KD-16345,Katherine Ducich,California,94122,West
CA-2017-119004,28-11-17,Standard Class,JM-15250,Janet Martin,North Carolina,28205,South
CA-2017-119004,28-11-17,Standard Class,JM-15250,Janet Martin,North Carolina,28205,South
CA-2017-119004,28-11-17,Standard Class,JM-15250,Janet Martin,North Carolina,28205,South
CA-2017-146780,30-12-17,Standard Class,CV-12805,Cynthia Voltz,New York,10035,East
US-2017-107272,12-11-17,Standard Class,TS-21610,Troy Staebel,Arizona,85023,West
US-2017-107272,12-11-17,Standard Class,TS-21610,Troy Staebel,Arizona,85023,West
US-2017-164147,05-02-17,First Class,DW-13585,Dorothy Wardle,Ohio,43229,East
US-2017-164147,05-02-17,First Class,DW-13585,Dorothy Wardle,Ohio,43229,East
US-2017-164147,05-02-17,First Class,DW-13585,Dorothy Wardle,Ohio,43229,East
CA-2017-106180,23-09-17,Standard Class,SH-19975,Sally Hughsby,California,94122,West
CA-2017-106180,23-09-17,Standard Class,SH-19975,Sally Hughsby,California,94122,West
CA-2017-106180,23-09-17,Standard Class,SH-19975,Sally Hughsby,California,94122,West
CA-2017-155376,27-12-17,Standard Class,SG-20080,Sandra Glassco,Missouri,64055,Central
US-2017-152366,25-04-17,Second Class,SJ-20500,Shirley Jackson,Texas,77036,Central
CA-2017-107720,13-11-17,Standard Class,VM-21685,Valerie Mitchum,New Jersey,7090,East
US-2017-124303,13-07-17,Standard Class,FH-14365,Fred Hopkins,Pennsylvania,19120,East
US-2017-124303,13-07-17,Standard Class,FH-14365,Fred Hopkins,Pennsylvania,19120,East
CA-2017-105074,29-06-17,Standard Class,MB-17305,Maria Bertelson,Ohio,44312,East
US-2017-116701,21-12-17,Second Class,LC-17140,Logan Currie,Texas,75220,Central
CA-2017-126382,07-06-17,Standard Class,HK-14890,Heather Kirkland,Tennessee,37064,South
CA-2017-108329,14-12-17,Standard Class,LE-16810,Laurel Elliston,California,90604,West
CA-2017-135860,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central
CA-2017-135860,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central
CA-2017-135860,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central
CA-2017-135860,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central
CA-2017-135860,07-12-17,Standard Class,JH-15985,Joseph Holt,Michigan,48601,Central
US-2017-100930,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South
US-2017-100930,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South
US-2017-100930,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South
US-2017-100930,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South
US-2017-100930,12-04-17,Standard Class,CS-12400,Christopher Schild,Florida,33614,South
CA-2017-160514,16-11-17,Standard Class,DB-13120,David Bremer,California,95051,West
CA-2017-163139,03-12-17,Second Class,CC-12670,Craig Carreira,New York,10009,East
CA-2017-163139,03-12-17,Second Class,CC-12670,Craig Carreira,New York,10009,East
CA-2017-163139,03-12-17,Second Class,CC-12670,Craig Carreira,New York,10009,East
US-2017-155299,12-06-17,Standard Class,Dl-13600,Dorris liebe,Texas,77506,Central
CA-2017-136826,20-06-17,Standard Class,CB-12535,Claudia Bergmann,North Carolina,27514,South
US-2017-145366,13-12-17,Standard Class,CA-12310,Christine Abelman,Ohio,45231,East
US-2017-145366,13-12-17,Standard Class,CA-12310,Christine Abelman,Ohio,45231,East
CA-2017-118136,17-09-17,First Class,BB-10990,Barry Blumstein,California,90301,West
CA-2017-118136,17-09-17,First Class,BB-10990,Barry Blumstein,California,90301,West
CA-2017-132976,17-10-17,Standard Class,AG-10495,Andrew Gjertsen,Pennsylvania,19140,East
CA-2017-132976,17-10-17,Standard Class,AG-10495,Andrew Gjertsen,Pennsylvania,19140,East
CA-2017-132976,17-10-17,Standard Class,AG-10495,Andrew Gjertsen,Pennsylvania,19140,East
CA-2017-132976,17-10-17,Standard Class,AG-10495,Andrew Gjertsen,Pennsylvania,19140,East
US-2017-152380,23-11-17,Standard Class,JH-15910,Jonathan Howell,Illinois,60623,Central
CA-2017-126774,17-04-17,First Class,SH-20395,Shahid Hopkins,Virginia,22204,South
CA-2017-153339,05-11-17,Second Class,DJ-13510,Don Jones,Tennessee,37130,South
CA-2017-169901,19-06-17,Standard Class,CC-12550,Clay Cheatham,California,94122,West
CA-2017-134306,12-07-17,Standard Class,TD-20995,Tamara Dahlen,Massachusetts,1852,East
CA-2017-134306,12-07-17,Standard Class,TD-20995,Tamara Dahlen,Massachusetts,1852,East
CA-2017-134306,12-07-17,Standard Class,TD-20995,Tamara Dahlen,Massachusetts,1852,East
CA-2017-155698,11-03-17,First Class,VB-21745,Victoria Brennan,Georgia,31907,South
CA-2017-155698,11-03-17,First Class,VB-21745,Victoria Brennan,Georgia,31907,South
CA-2017-144904,01-10-17,Standard Class,KW-16435,Katrina Willman,New York,10009,East
CA-2017-144904,01-10-17,Standard Class,KW-16435,Katrina Willman,New York,10009,East
CA-2017-144904,01-10-17,Standard Class,KW-16435,Katrina Willman,New York,10009,East
CA-2017-144904,01-10-17,Standard Class,KW-16435,Katrina Willman,New York,10009,East
CA-2017-104745,04-06-17,Standard Class,GT-14755,Guy Thornton,Texas,78550,Central
CA-2017-104745,04-06-17,Standard Class,GT-14755,Guy Thornton,Texas,78550,Central
US-2017-134481,01-09-17,Standard Class,AR-10405,Allen Rosenblatt,Massachusetts,2038,East
CA-2017-101798,15-12-17,Standard Class,MV-18190,Mike Vittorini,New York,10009,East
CA-2017-101798,15-12-17,Standard Class,MV-18190,Mike Vittorini,New York,10009,East
CA-2017-102946,05-07-17,Standard Class,VP-21730,Victor Preis,Nevada,89115,West
CA-2017-165603,19-10-17,Second Class,SS-20140,Saphhira Shifley,Rhode Island,2886,East
CA-2017-165603,19-10-17,Second Class,SS-20140,Saphhira Shifley,Rhode Island,2886,East
CA-2017-117933,29-12-17,Standard Class,RF-19840,Roy Französisch,New York,10024,East
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-117457,12-12-17,Standard Class,KH-16510,Keith Herrera,California,94110,West
CA-2017-142636,07-11-17,Standard Class,KC-16675,Kimberly Carter,Washington,98105,West
CA-2017-142636,07-11-17,Standard Class,KC-16675,Kimberly Carter,Washington,98105,West
CA-2017-122105,28-06-17,Standard Class,CJ-12010,Caroline Jumper,California,92646,West
CA-2017-154816,10-11-17,Standard Class,VB-21745,Victoria Brennan,Kentucky,40475,South
CA-2017-110478,09-03-17,Standard Class,SP-20860,Sung Pak,California,90045,West
CA-2017-110478,09-03-17,Standard Class,SP-20860,Sung Pak,California,90045,West
CA-2017-125388,23-10-17,Standard Class,MP-17965,Michael Paige,Massachusetts,1841,East
CA-2017-125388,23-10-17,Standard Class,MP-17965,Michael Paige,Massachusetts,1841,East
CA-2017-155705,23-08-17,Second Class,NF-18385,Natalie Fritzler,Mississippi,39212,South
