Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2017-114412,15-04-17,20-04-17,Standard Class,AA-10480,Andrew Allen,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
2,US-2017-156909,16-07-17,18-07-17,Second Class,SF-20065,Sandra Flanagan,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
3,CA-2017-107727,19-10-17,23-10-17,Second Class,MA-17560,Matt Abelman,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
4,CA-2017-120999,10-09-17,15-09-17,Standard Class,LC-16930,Linda Cazamias,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
5,CA-2017-139619,19-09-17,23-09-17,Standard Class,ES-14080,Erin Smith,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
6,CA-2017-114440,14-09-17,17-09-17,Second Class,TB-21520,Tracy Blumstein,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
7,US-2017-118038,09-12-17,11-12-17,First Class,KB-16600,Ken Brennan,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
8,US-2017-118038,09-12-17,11-12-17,First Class,KB-16600,Ken Brennan,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
9,US-2017-118038,09-12-17,11-12-17,First Class,KB-16600,Ken Brennan,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
10,US-2017-119662,13-11-17,16-11-17,First Class,CS-12400,Christopher Schild,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
11,CA-2017-140088,28-05-17,30-05-17,Second Class,PO-18865,Patrick O'Donnell,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
12,CA-2017-155558,26-10-17,02-11-17,Standard Class,PG-18895,Paul Gonzalez,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
13,CA-2017-155558,26-10-17,02-11-17,Standard Class,PG-18895,Paul Gonzalez,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
14,US-2017-109484,06-11-17,12-11-17,Standard Class,RB-19705,Roger Barcio,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
15,CA-2017-161018,09-11-17,11-11-17,Second Class,PN-18775,Parhena Norris,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
16,CA-2017-157833,17-06-17,20-06-17,First Class,KD-16345,Katherine Ducich,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
17,CA-2017-119004,23-11-17,28-11-17,Standard Class,JM-15250,Janet Martin,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
18,CA-2017-119004,23-11-17,28-11-17,Standard Class,JM-15250,Janet Martin,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
19,CA-2017-119004,23-11-17,28-11-17,Standard Class,JM-15250,Janet Martin,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
20,CA-2017-146780,25-12-17,30-12-17,Standard Class,CV-12805,Cynthia Voltz,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
21,US-2017-107272,05-11-17,12-11-17,Standard Class,TS-21610,Troy Staebel,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
22,US-2017-107272,05-11-17,12-11-17,Standard Class,TS-21610,Troy Staebel,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
23,US-2017-164147,02-02-17,05-02-17,First Class,DW-13585,Dorothy Wardle,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
24,US-2017-164147,02-02-17,05-02-17,First Class,DW-13585,Dorothy Wardle,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364
25,US-2017-164147,02-02-17,05-02-17,First Class,DW-13585,Dorothy Wardle,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732
26,CA-2017-106180,18-09-17,23-09-17,Standard Class,SH-19975,Sally Hughsby,California,94122,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3,0,2.3814
27,CA-2017-106180,18-09-17,23-09-17,Standard Class,SH-19975,Sally Hughsby,California,94122,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
28,CA-2017-106180,18-09-17,23-09-17,Standard Class,SH-19975,Sally Hughsby,California,94122,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,3,0,68.976
29,CA-2017-155376,22-12-17,27-12-17,Standard Class,SG-20080,Sandra Glassco,Missouri,64055,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518
30,US-2017-152366,21-04-17,25-04-17,Second Class,SJ-20500,Shirley Jackson,Texas,77036,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16
31,CA-2017-107720,06-11-17,13-11-17,Standard Class,VM-21685,Valerie Mitchum,New Jersey,7090,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3,0,12.0276
32,US-2017-124303,06-07-17,13-07-17,Standard Class,FH-14365,Fred Hopkins,Pennsylvania,19120,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586
33,US-2017-124303,06-07-17,13-07-17,Standard Class,FH-14365,Fred Hopkins,Pennsylvania,19120,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,5.8203
34,CA-2017-105074,24-06-17,29-06-17,Standard Class,MB-17305,Maria Bertelson,Ohio,44312,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795
