name,empid,maritalstatusid,performancescore,salary,position,dob,gender,dateofhire,dateoftermination,terminationreason,employmentstatus,department,managername,jobsatisfactionscore,absences
"Adinolfi, Wilson  K",10026,0,4,62506,Production Technician I,07-10-83,M ,07-05-11,,N/A-StillEmployed,Active,Production       ,Michael Albert,4.6,1
"Ait Sidi, Karthikeyan   ",10084,1,3,104437,Sr. DBA,05-05-75,M ,3/30/2015,6/16/2016,career change,Voluntarily Terminated,IT/IS,Simon Roup,4.96,17
"Akinkuolie, Sarah",10196,1,3,64955,Production Technician II,09/19/88,F,07-05-11,9/24/2012,hours,Voluntarily Terminated,Production       ,Kissy Sullivan,3.02,3
"Alagbe,Trina",10088,1,3,64991,Production Technician I,09/27/88,F,01-07-08,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,4.84,15
"Anderson, Carol ",10069,2,3,50825,Production Technician I,09-08-89,F,07-11-11,09-06-16,return to school,Voluntarily Terminated,Production       ,Webster Butler,5,2
"Anderson, Linda  ",10002,0,4,57568,Production Technician I,05/22/77,F,01-09-12,,N/A-StillEmployed,Active,Production       ,Amy Dunn,5,15
"Andreola, Colby",10194,0,3,95660,Software Engineer,05/24/79,F,11-10-14,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,3.04,19
"Athwal, Sam",10062,4,3,59365,Production Technician I,02/18/83,M ,9/30/2013,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,5,19
"Bachiochi, Linda",10114,0,3,47837,Production Technician I,02-11-70,F,07-06-09,,N/A-StillEmployed,Active,Production       ,Brannon Miller,4.46,4
"Bacong, Alejandro ",10250,2,3,50178,IT Support,01-07-88,M ,01-05-15,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,5,16
"Baczenski, Rachael  ",10252,1,3,54670,Production Technician I,01-12-74,F,01-10-11,01-12-17,Another position,Voluntarily Terminated,Production       ,David Stanley,4.2,12
"Barbara, Thomas",10242,1,3,47211,Production Technician I,02/21/74,M ,04-02-12,9/19/2016,unhappy,Voluntarily Terminated,Production       ,Kissy Sullivan,4.2,15
"Barbossa, Hector",10012,2,4,92328,Data Analyst,07-04-88,M ,11-10-14,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4.28,9
"Barone, Francesco  A",10265,0,3,58709,Production Technician I,07/20/83,M ,2/20/2012,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.6,7
"Barton, Nader",10066,2,3,52505,Production Technician I,07/15/77,M ,9/24/2012,04-06-17,Another position,Voluntarily Terminated,Production       ,Michael Albert,5,1
"Bates, Norman",10061,0,3,57834,Production Technician I,10/18/81,M ,2/21/2011,08-04-17,attendance,Terminated for Cause,Production       ,Kelley Spirea,5,20
"Beak, Kimberly  ",10023,1,4,70131,Production Technician II,04/17/66,F,7/21/2016,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,4.4,16
"Beatrice, Courtney ",10055,0,3,59026,Production Technician I,10/27/70,F,04-04-11,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,5,12
"Becker, Renee",10245,0,3,110000,Database Administrator,04-04-86,F,07-07-14,09-12-15,performance,Terminated for Cause,IT/IS,Simon Roup,4.5,8
"Becker, Scott",10277,0,3,53250,Production Technician I,04-06-79,M ,07-08-13,,N/A-StillEmployed,Active,Production       ,Webster Butler,4.2,13
"Bernstein, Sean",10046,0,3,51044,Production Technician I,12/22/70,M ,04-02-12,,N/A-StillEmployed,Active,Production       ,Amy Dunn,5,13
"Biden, Lowan  M",10226,2,3,64919,Production Technician I,12/27/58,F,8/19/2013,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,4.2,2
"Billis, Helen",10003,1,4,62910,Production Technician I,09-01-89,F,07-07-14,,N/A-StillEmployed,Active,Production       ,Brannon Miller,5,19
"Blount, Dianna",10294,0,2,66441,Production Technician II,09/21/90,F,04-04-11,,N/A-StillEmployed,Active,Production       ,Michael Albert,2,3
"Bondwell, Betsy",10267,0,3,57815,Production Technician II,01/16/67,F,01-10-11,04-04-14,career change,Voluntarily Terminated,Production       ,Elijiah Gray,4.8,5
"Booth, Frank",10199,0,3,103613,Enterprise Architect,07/30/64,M ,2/17/2014,2/19/2016,Learned that he is a gangster,Terminated for Cause,IT/IS,Simon Roup,3.5,2
"Boutwell, Bonalyn",10081,1,3,106367,Sr. Accountant,04-04-87,F,2/16/2015,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,5,4
"Bozzi, Charles",10175,0,3,74312,Production Manager,03-10-70,M ,9/30/2013,08-07-14,retiring,Voluntarily Terminated,Production       ,Janet King,3.39,14
"Brill, Donna",10177,1,3,53492,Production Technician I,08/24/90,F,04-02-12,6/15/2013,Another position,Voluntarily Terminated,Production       ,David Stanley,3.35,6
"Brown, Mia",10238,1,3,63000,Accountant I,11/24/87,F,10/27/2008,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,4.5,14
"Buccheri, Joseph  ",10184,0,3,65288,Production Technician II,07/28/83,M ,9/29/2014,,N/A-StillEmployed,Active,Production       ,Webster Butler,3.19,9
"Bugali, Josephine ",10203,3,3,64375,Production Technician I,10/30/69,F,11-11-13,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,3.5,17
"Bunbury, Jessica",10188,1,3,74326,Area Sales Manager,06-01-64,F,8/15/2011,08-02-14,Another position,Voluntarily Terminated,Sales,John Smith,3.14,19
"Burke, Joelle",10107,0,3,63763,Production Technician II,03-02-80,F,03-05-12,,N/A-StillEmployed,Active,Production       ,Amy Dunn,4.51,3
"Burkett, Benjamin ",10181,1,3,62162,Production Technician II,08/19/77,M ,04-04-11,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,3.25,15
"Cady, Max ",10150,0,3,77692,Software Engineering Manager,11/22/66,M ,8/15/2011,,N/A-StillEmployed,Active,Software Engineering,Jennifer Zamora,3.84,4
"Candie, Calvin",10001,0,4,72640,Production Manager,08-09-83,M ,1/28/2016,,N/A-StillEmployed,Active,Production       ,Janet King,5,14
